Id,Label,timeset,modularity_class
0,0,,0
1,1,,0
2,2,,4
3,3,,0
4,4,,4
5,5,,0
7,7,,4
8,8,,0
11,11,,0
12,12,,0
13,13,,0
14,14,,0
15,15,,4
17,17,,2
18,18,,2
25,25,,4
28,28,,0
35,35,,1
36,36,,0
38,38,,0
42,42,,3
45,45,,0
46,46,,4
53,53,,0
56,56,,0
65,65,,0
75,75,,0
76,76,,0
78,78,,5
80,80,,0
110,110,,1
118,118,,5
123,123,,3
136,136,,0
137,137,,4
138,138,,2
158,158,,4
163,163,,2
189,189,,0
9,9,,4
19,19,,5
22,22,,5
34,34,,0
39,39,,4
47,47,,1
71,71,,3
73,73,,2
84,84,,0
91,91,,3
99,99,,0
109,109,,0
133,133,,1
156,156,,4
166,166,,3
167,167,,0
171,171,,0
183,183,,1
6,6,,4
10,10,,4
20,20,,4
24,24,,5
37,37,,3
40,40,,4
41,41,,0
50,50,,5
55,55,,4
57,57,,4
63,63,,4
94,94,,0
100,100,,4
101,101,,2
106,106,,4
119,119,,4
131,131,,0
139,139,,2
140,140,,3
141,141,,5
145,145,,0
146,146,,0
157,157,,4
165,165,,1
180,180,,4
186,186,,3
187,187,,4
193,193,,4
33,33,,0
81,81,,1
92,92,,2
125,125,,5
130,130,,2
188,188,,4
31,31,,4
43,43,,2
132,132,,3
159,159,,1
26,26,,3
103,103,,0
134,134,,2
148,148,,5
195,195,,5
66,66,,2
85,85,,4
93,93,,2
97,97,,4
105,105,,4
160,160,,4
178,178,,3
16,16,,2
23,23,,3
86,86,,0
95,95,,3
150,150,,3
112,112,,2
122,122,,0
151,151,,2
153,153,,0
21,21,,5
59,59,,2
117,117,,5
155,155,,5
175,175,,4
176,176,,5
60,60,,4
64,64,,2
161,161,,4
108,108,,0
129,129,,5
144,144,,0
114,114,,3
77,77,,3
27,27,,5
32,32,,4
74,74,,1
168,168,,2
179,179,,2
30,30,,2
49,49,,2
51,51,,3
58,58,,2
69,69,,1
70,70,,5
72,72,,2
83,83,,2
98,98,,2
102,102,,2
104,104,,2
107,107,,4
152,152,,2
181,181,,2
29,29,,5
124,124,,0
127,127,,2
121,121,,5
192,192,,2
196,196,,0
52,52,,5
90,90,,2
143,143,,3
149,149,,5
173,173,,0
185,185,,3
68,68,,1
44,44,,3
48,48,,3
61,61,,4
82,82,,3
87,87,,4
113,113,,3
116,116,,5
174,174,,3
89,89,,5
96,96,,5
147,147,,0
67,67,,4
135,135,,2
182,182,,4
142,142,,0
154,154,,2
177,177,,3
190,190,,3
79,79,,0
170,170,,1
54,54,,0
88,88,,2
169,169,,2
199,199,,2
62,62,,0
191,191,,4
128,128,,4
172,172,,2
164,164,,3
126,126,,3
111,111,,4
162,162,,3
184,184,,4
198,198,,2
194,194,,2
197,197,,4
115,115,,5
120,120,,2
