Id,Label,timeset,modularity_class
0,0,,1
1,1,,1
17,17,,0
33,33,,1
34,34,,1
57,57,,3
112,112,,1
119,119,,2
130,130,,1
159,159,,0
196,196,,1
31,31,,1
52,52,,0
144,144,,1
163,163,,0
2,2,,1
122,122,,2
126,126,,1
127,127,,1
129,129,,1
161,161,,2
186,186,,1
194,194,,1
3,3,,1
43,43,,1
63,63,,4
104,104,,1
133,133,,1
154,154,,1
4,4,,3
9,9,,2
56,56,,3
197,197,,1
5,5,,0
97,97,,3
101,101,,1
153,153,,4
183,183,,0
190,190,,0
6,6,,2
22,22,,2
166,166,,2
7,7,,3
24,24,,0
41,41,,1
65,65,,3
89,89,,4
99,99,,3
117,117,,0
125,125,,3
134,134,,3
146,146,,1
8,8,,1
14,14,,1
44,44,,3
88,88,,1
114,114,,0
147,147,,1
150,150,,0
168,168,,4
15,15,,1
16,16,,0
90,90,,2
109,109,,2
142,142,,0
199,199,,4
10,10,,1
55,55,,1
82,82,,1
111,111,,1
165,165,,0
180,180,,3
185,185,,2
195,195,,1
11,11,,0
18,18,,4
25,25,,0
86,86,,3
98,98,,0
175,175,,0
189,189,,0
192,192,,0
12,12,,0
71,71,,1
160,160,,0
13,13,,2
77,77,,2
181,181,,2
79,79,,1
69,69,,1
141,141,,1
48,48,,0
95,95,,3
116,116,,1
135,135,,0
155,155,,0
49,49,,4
80,80,,0
167,167,,0
72,72,,4
81,81,,4
92,92,,1
191,191,,4
19,19,,2
20,20,,2
62,62,,1
67,67,,2
148,148,,2
21,21,,3
23,23,,1
40,40,,1
50,50,,0
53,53,,1
42,42,,4
143,143,,1
179,179,,0
37,37,,4
45,45,,2
73,73,,3
26,26,,2
27,27,,2
61,61,,3
128,128,,1
149,149,,2
39,39,,2
78,78,,3
100,100,,2
169,169,,2
28,28,,1
70,70,,1
29,29,,1
30,30,,1
96,96,,1
132,132,,4
91,91,,1
102,102,,4
170,170,,3
32,32,,0
85,85,,3
157,157,,1
35,35,,1
38,38,,0
105,105,,1
93,93,,3
123,123,,0
145,145,,1
152,152,,1
36,36,,2
187,187,,2
83,83,,4
108,108,,1
87,87,,3
156,156,,4
94,94,,1
176,176,,2
188,188,,1
68,68,,3
106,106,,4
120,120,,1
171,171,,4
193,193,,3
107,107,,3
118,118,,1
46,46,,1
47,47,,0
162,162,,0
164,164,,0
174,174,,1
64,64,,4
131,131,,4
137,137,,2
51,51,,2
136,136,,3
113,113,,0
139,139,,1
54,54,,0
173,173,,0
138,138,,1
151,151,,3
58,58,,4
59,59,,1
184,184,,1
60,60,,2
158,158,,2
177,177,,1
121,121,,3
66,66,,1
103,103,,4
182,182,,2
74,74,,4
140,140,,4
75,75,,0
76,76,,1
124,124,,1
115,115,,4
84,84,,2
178,178,,4
110,110,,2
198,198,,1
172,172,,4
