Id,Label,timeset,modularity_class
0,0,,3
1,1,,3
3,3,,3
65,65,,0
197,197,,3
198,198,,3
199,199,,3
2,2,,3
4,4,,3
5,5,,3
84,84,,1
171,171,,3
6,6,,3
112,112,,2
7,7,,3
11,11,,3
191,191,,3
8,8,,3
9,9,,3
10,10,,3
91,91,,1
169,169,,2
90,90,,1
12,12,,3
13,13,,3
14,14,,0
15,15,,0
30,30,,0
35,35,,0
16,16,,0
17,17,,0
21,21,,0
18,18,,0
147,147,,2
19,19,,0
69,69,,0
20,20,,0
159,159,,2
184,184,,3
22,22,,0
23,23,,0
103,103,,2
104,104,,2
24,24,,0
25,25,,0
37,37,,0
26,26,,0
189,189,,3
27,27,,0
28,28,,0
29,29,,0
100,100,,1
31,31,,0
32,32,,0
33,33,,0
34,34,,0
36,36,,0
38,38,,0
170,170,,2
39,39,,0
40,40,,0
41,41,,0
42,42,,0
108,108,,2
121,121,,2
43,43,,0
44,44,,0
45,45,,0
46,46,,0
47,47,,0
83,83,,1
48,48,,0
49,49,,0
66,66,,0
50,50,,0
51,51,,0
52,52,,0
78,78,,1
53,53,,0
54,54,,0
55,55,,0
56,56,,0
57,57,,0
58,58,,0
59,59,,0
60,60,,0
61,61,,0
105,105,,2
62,62,,0
63,63,,0
64,64,,0
67,67,,0
68,68,,0
160,160,,2
70,70,,1
71,71,,1
72,72,,1
102,102,,2
73,73,,1
74,74,,1
75,75,,1
76,76,,1
77,77,,1
154,154,,2
79,79,,1
80,80,,1
81,81,,1
82,82,,1
85,85,,1
86,86,,1
87,87,,1
88,88,,1
89,89,,1
92,92,,1
93,93,,1
146,146,,2
94,94,,1
95,95,,1
96,96,,1
97,97,,1
98,98,,1
99,99,,1
101,101,,1
124,124,,2
106,106,,2
107,107,,2
109,109,,2
110,110,,2
111,111,,2
113,113,,2
153,153,,2
114,114,,2
131,131,,2
115,115,,2
116,116,,2
117,117,,2
118,118,,2
119,119,,2
120,120,,2
122,122,,2
123,123,,2
125,125,,2
174,174,,3
126,126,,2
127,127,,2
128,128,,2
129,129,,2
130,130,,2
132,132,,2
133,133,,2
134,134,,2
135,135,,2
136,136,,2
137,137,,2
138,138,,2
139,139,,2
140,140,,2
185,185,,3
141,141,,2
166,166,,2
167,167,,2
142,142,,2
143,143,,2
144,144,,2
145,145,,2
148,148,,2
149,149,,2
155,155,,2
195,195,,3
150,150,,2
151,151,,2
152,152,,2
186,186,,3
156,156,,2
187,187,,3
157,157,,2
182,182,,3
158,158,,2
161,161,,2
162,162,,2
163,163,,2
164,164,,2
165,165,,2
180,180,,3
168,168,,2
194,194,,3
172,172,,3
173,173,,3
175,175,,3
176,176,,3
177,177,,3
178,178,,3
179,179,,3
181,181,,3
183,183,,3
188,188,,3
190,190,,3
192,192,,3
193,193,,3
196,196,,3
